Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
K,Spencer Shrader (36791653),Spencer Shrader,36791653,FLEX,5000,LV@KC 11/29/2024 03:00PM ET,KC,6.5
K,Harrison Butker (36791654),Harrison Butker,36791654,FLEX,5000,LV@KC 11/29/2024 03:00PM ET,KC,9.11
K,Matthew Wright (36829241),Matthew Wright,36829241,FLEX,5000,LV@KC 11/29/2024 03:00PM ET,KC,13
K,Daniel Carlson (36791655),Daniel Carlson,36791655,FLEX,4800,LV@KC 11/29/2024 03:00PM ET,LV,8.64
DST,Raiders  (36791718),Raiders ,36791718,CPT,4800,LV@KC 11/29/2024 03:00PM ET,LV,2.64
RB,Samaje Perine (36791719),Samaje Perine,36791719,CPT,4500,LV@KC 11/29/2024 03:00PM ET,KC,5.12
WR,Tre Tucker (36791656),Tre Tucker,36791656,FLEX,4400,LV@KC 11/29/2024 03:00PM ET,LV,7.94
WR,Justin Watson (36791720),Justin Watson,36791720,CPT,4200,LV@KC 11/29/2024 03:00PM ET,KC,3.62
WR,JuJu Smith-Schuster (36791657),JuJu Smith-Schuster,36791657,FLEX,4000,LV@KC 11/29/2024 03:00PM ET,KC,4.51
TE,Noah Gray (36791658),Noah Gray,36791658,FLEX,3600,LV@KC 11/29/2024 03:00PM ET,KC,7.5
WR,DJ Turner (36791721),DJ Turner,36791721,CPT,3600,LV@KC 11/29/2024 03:00PM ET,LV,3.96
DST,Raiders  (36791659),Raiders ,36791659,FLEX,3200,LV@KC 11/29/2024 03:00PM ET,LV,2.64
RB,Samaje Perine (36791660),Samaje Perine,36791660,FLEX,3000,LV@KC 11/29/2024 03:00PM ET,KC,5.12
WR,Mecole Hardman (36791722),Mecole Hardman,36791722,CPT,3000,LV@KC 11/29/2024 03:00PM ET,KC,3.02
WR,Justin Watson (36791661),Justin Watson,36791661,FLEX,2800,LV@KC 11/29/2024 03:00PM ET,KC,3.62
WR,DJ Turner (36791662),DJ Turner,36791662,FLEX,2400,LV@KC 11/29/2024 03:00PM ET,LV,3.96
TE,Michael Mayer (36791723),Michael Mayer,36791723,CPT,2400,LV@KC 11/29/2024 03:00PM ET,LV,2.14
RB,Carson Steele (36791724),Carson Steele,36791724,CPT,2100,LV@KC 11/29/2024 03:00PM ET,KC,1.93
WR,Mecole Hardman (36791663),Mecole Hardman,36791663,FLEX,2000,LV@KC 11/29/2024 03:00PM ET,KC,3.02
TE,Michael Mayer (36791664),Michael Mayer,36791664,FLEX,1600,LV@KC 11/29/2024 03:00PM ET,LV,2.14
RB,Dylan Laube (36791725),Dylan Laube,36791725,CPT,1500,LV@KC 11/29/2024 03:00PM ET,LV,-0.25
RB,Carson Steele (36791665),Carson Steele,36791665,FLEX,1400,LV@KC 11/29/2024 03:00PM ET,KC,1.93
RB,Sincere McCormick (36791726),Sincere McCormick,36791726,CPT,1200,LV@KC 11/29/2024 03:00PM ET,LV,1.65
RB,Dylan Laube (36791666),Dylan Laube,36791666,FLEX,1000,LV@KC 11/29/2024 03:00PM ET,LV,-0.25
TE,Harrison Bryant (36791727),Harrison Bryant,36791727,CPT,900,LV@KC 11/29/2024 03:00PM ET,LV,2.2
RB,Sincere McCormick (36791667),Sincere McCormick,36791667,FLEX,800,LV@KC 11/29/2024 03:00PM ET,LV,1.65
TE,Harrison Bryant (36791668),Harrison Bryant,36791668,FLEX,600,LV@KC 11/29/2024 03:00PM ET,LV,2.2
WR,Kristian Wilkerson (36791728),Kristian Wilkerson,36791728,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,4.9
WR,Tyquan Thornton (36791729),Tyquan Thornton,36791729,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,1.45
RB,Chris Collier (36791730),Chris Collier,36791730,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
RB,Keaontay Ingram (36791731),Keaontay Ingram,36791731,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
RB,Clyde Edwards-Helaire (36791732),Clyde Edwards-Helaire,36791732,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Alex Bachman (36791733),Alex Bachman,36791733,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,1.02
WR,Ramel Keyton (36791734),Ramel Keyton,36791734,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0.57
WR,Tyreik McAllister (36791735),Tyreik McAllister,36791735,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0.37
WR,Nikko Remigio (36791736),Nikko Remigio,36791736,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Terrace Marshall Jr. (36791737),Terrace Marshall Jr.,36791737,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
WR,Justyn Ross (36791738),Justyn Ross,36791738,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Montrell Washington (36791739),Montrell Washington,36791739,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Rashee Rice (36791740),Rashee Rice,36791740,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,17.72
WR,Jaaron Hayek (36791741),Jaaron Hayek,36791741,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Skyy Moore (36791742),Skyy Moore,36791742,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Hollywood Brown (36791743),Hollywood Brown,36791743,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Jeff Foreman (36791744),Jeff Foreman,36791744,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Peyton Hendershot (36791745),Peyton Hendershot,36791745,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,1.12
TE,John Samuel Shenker (36791746),John Samuel Shenker,36791746,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0.34
TE,James Winchester (36791747),James Winchester,36791747,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
TE,Anthony Firkser (36791748),Anthony Firkser,36791748,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0
TE,Cole Fotheringham (36791749),Cole Fotheringham,36791749,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Justin Shorter (36791750),Justin Shorter,36791750,CPT,300,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Jody Fortson (36791751),Jody Fortson,36791751,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0.5
TE,Jared Wiley (36791752),Jared Wiley,36791752,CPT,300,LV@KC 11/29/2024 03:00PM ET,KC,0.24
WR,Kristian Wilkerson (36791669),Kristian Wilkerson,36791669,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,4.9
WR,Tyquan Thornton (36791670),Tyquan Thornton,36791670,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,1.45
RB,Chris Collier (36791671),Chris Collier,36791671,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
RB,Keaontay Ingram (36791672),Keaontay Ingram,36791672,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
RB,Clyde Edwards-Helaire (36791673),Clyde Edwards-Helaire,36791673,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Alex Bachman (36791674),Alex Bachman,36791674,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,1.02
WR,Ramel Keyton (36791675),Ramel Keyton,36791675,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0.57
WR,Tyreik McAllister (36791676),Tyreik McAllister,36791676,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0.37
WR,Nikko Remigio (36791677),Nikko Remigio,36791677,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Terrace Marshall Jr. (36791678),Terrace Marshall Jr.,36791678,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
WR,Justyn Ross (36791679),Justyn Ross,36791679,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Montrell Washington (36791680),Montrell Washington,36791680,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Rashee Rice (36791681),Rashee Rice,36791681,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,17.72
WR,Jaaron Hayek (36791682),Jaaron Hayek,36791682,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Skyy Moore (36791683),Skyy Moore,36791683,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Hollywood Brown (36791684),Hollywood Brown,36791684,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
WR,Jeff Foreman (36791685),Jeff Foreman,36791685,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Peyton Hendershot (36791686),Peyton Hendershot,36791686,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,1.12
TE,John Samuel Shenker (36791687),John Samuel Shenker,36791687,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0.34
TE,James Winchester (36791688),James Winchester,36791688,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
TE,Anthony Firkser (36791689),Anthony Firkser,36791689,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0
TE,Cole Fotheringham (36791690),Cole Fotheringham,36791690,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Justin Shorter (36791691),Justin Shorter,36791691,FLEX,200,LV@KC 11/29/2024 03:00PM ET,LV,0
TE,Jody Fortson (36791692),Jody Fortson,36791692,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0.5
TE,Jared Wiley (36791693),Jared Wiley,36791693,FLEX,200,LV@KC 11/29/2024 03:00PM ET,KC,0.24

